__time,/forward_effort_controller/commands/data.0,/forward_effort_controller/commands/data.1,/forward_effort_controller/commands/data.2,/forward_effort_controller/commands/layout/data_offset,/joint_states/header/stamp,/joint_states/joint1/effort,/joint_states/joint1/position,/joint_states/joint1/velocity,/joint_states/joint2/effort,/joint_states/joint2/position,/joint_states/joint2/velocity,/joint_states/joint3/effort,/joint_states/joint3/position,/joint_states/joint3/velocity,/reference_joint/commands/data.0,/reference_joint/commands/data.1,/reference_joint/commands/data.2,/reference_joint/commands/layout/data_offset
1670040245.979519,,,,,3548.794000,-0.150569,1.999891,-0.000883,0.625391,1.499729,0.006571,50.000000,2.100032,-0.003220,,,,
1670040245.979920,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040245.980798,0.062593,-0.015064,81.058158,0.000000,,,,,,,,,,,,,,
1670040245.989801,,,,,3548.804000,0.065335,1.999855,-0.005659,-0.199302,1.499857,0.012410,50.000000,2.100002,-0.001456,,,,
1670040245.989856,,,,,3548.804000,0.065335,1.999855,-0.005659,-0.199302,1.499857,0.012410,50.000000,2.100002,-0.001456,,,,
1670040245.990322,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040245.990346,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040245.999445,,,,,3548.814000,0.032990,1.999803,0.000900,-0.216470,1.499943,0.004697,50.000000,2.100025,-0.002631,,,,
1670040245.999491,,,,,3548.814000,0.032990,1.999803,0.000900,-0.216470,1.499943,0.004697,50.000000,2.100025,-0.002631,,,,
1670040245.999744,-0.029812,-0.038458,81.053178,0.000000,,,,,,,,,,,,,,
1670040245.999759,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040245.999765,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.000890,0.713683,-1.144320,78.900725,0.000000,,,,,,,,,,,,,,
1670040246.009678,,,,,3548.824000,0.178485,1.999792,-0.001645,-0.427193,1.500000,0.002515,50.000000,2.100001,-0.001908,,,,
1670040246.009748,,,,,3548.824000,0.178485,1.999792,-0.001645,-0.427193,1.500000,0.002515,50.000000,2.100001,-0.001908,,,,
1670040246.010181,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.010209,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.019222,,,,,3548.834000,-0.015201,1.999787,0.004223,-0.161544,1.499993,-0.001291,50.000000,2.100020,-0.002063,,,,
1670040246.019292,,,,,3548.834000,-0.015201,1.999787,0.004223,-0.161544,1.499993,-0.001291,50.000000,2.100020,-0.002063,,,,
1670040246.019712,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.019741,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.029564,,,,,3548.844000,0.061816,1.999796,-0.000336,-0.088004,1.499996,-0.001097,50.000000,2.100001,-0.002018,,,,
